ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCF_000485535.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali
GCA_030638685.1,t,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__Heimdallarchaeales,f__DAOWED01,g__DAOWED01,s__DAOWED01 sp030638685
GCA_003163595.1,f,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,s__Bog-38 sp003139855
GCA_002782805.1,f,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__CG10238-14,g__CG10238-14,s__CG10238-14 sp002789635
GCA_939800415.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum faecipullorum
GCA_002508335.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Cuniculiplasma,s__Cuniculiplasma divulgatum
GCA_002498625.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp002506755
GCA_030446425.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales_A,f__Methermicoccaceae,g__Methermicoccus,s__Methermicoccus shengliensis
GCF_003385755.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus
GCA_021654395.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__ARM-1,s__ARM-1 sp021654395
GCA_000402965.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Calditenuaceae,g__AWOC01,s__AWOC01 sp000494185
GCF_000328665.1,t,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanomethylovorans,s__Methanomethylovorans hollandica
GCA_030861865.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera sp030861865
GCA_027374575.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA9642,g__UBA9642,s__UBA9642 sp021813435
GCA_011771385.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__JACEMX01,s__JACEMX01 sp011773785
GCA_005881615.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__40CM-2-53-6,g__40CM-2-53-6,s__40CM-2-53-6 sp005881615
GCA_027380485.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAKAFX01,s__JAKAFX01 sp021802055
GCA_027363475.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAKBQS01,s__JAKBQS01 sp021850805
GCA_027448225.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAKAYB01,s__JAKAYB01 sp021826925
GCA_021833105.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp021821785
GCA_027046105.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Pyrodictiaceae,g__JALTZQ01,s__JALTZQ01 sp027046105
GCA_015522885.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__WALJ01,f__WALJ01,g__WALJ01,s__WALJ01 sp015522885
GCA_027374535.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Sysuiplasmatales,f__Sysuiplasmataceae,g__Sysuiplasma,s__Sysuiplasma jiujiangense
GCA_027366715.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Cuniculiplasma,s__Cuniculiplasma divulgatum
GCA_027368205.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__B-DKE,s__B-DKE sp021792655
GCA_016784085.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,g__BS150m-G67,s__BS150m-G67 sp016784085
GCA_016187405.1,t,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__SCSR01,g__JACPJS01,s__JACPJS01 sp016187405
GCF_004104135.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanohalophilus,s__Methanohalophilus euhalobius
GCA_938091495.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__JACAEJ01,g__JACAEJ01,s__JACAEJ01 sp938091495
GCA_030045775.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp030040865
GCA_021831945.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAKATE01,s__JAKATE01 sp021828085
GCA_028099745.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1,s__MGIIa-L1 sp002506275
GCA_027038505.1,t,d__Archaea,p__EX4484-52,c__EX4484-52,o__EX4484-52,f__WAPT01,g__WAPT01,s__WAPT01 sp027038505
GCF_900110215.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis persicus
GCA_005882885.1,f,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__40CM-2-53-6,g__40CM-2-53-6,s__40CM-2-53-6 sp005882895
GCF_001560405.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus acidocaldarius
GCA_002499025.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__Methanoregula,s__Methanoregula sp002502245
GCA_022451825.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1,s__MGIIa-K1 sp902563095
GCA_013425425.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Anstonellales,f__Bilamarchaeaceae,g__JACCLJ01,s__JACCLJ01 sp013425425
GCA_009778275.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__Methanoplasma,s__Methanoplasma sp009778275
GCA_018302685.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR20,g__JAGVZK01,s__JAGVZK01 sp018302685
GCA_027387185.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAJYEA01,s__JAJYEA01 sp021796385
GCA_023246445.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__JACQNH01,g__JACQNH01,s__JACQNH01 sp023246445
GCA_013538675.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosocaldaceae,g__Nitrosocaldus,s__Nitrosocaldus tengchongensis
GCF_000337675.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronococcus,s__Natronococcus amylolyticus
GCA_002719815.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L2,s__MGIIa-L2 sp002719815
GCA_027380595.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAMDBT01,s__JAMDBT01 sp021803655
GCA_021829835.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAJZIZ01,s__JAJZIZ01 sp021829835
GCF_030848565.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronolimnohabitans,s__Natronolimnohabitans sp030848565
GCA_023252445.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Wolframiiraptoraceae,g__Wolframiiraptor,s__Wolframiiraptor sinensis
GCF_000632495.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus copahuensis
GCA_020028975.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TA-21,s__TA-21 sp014523495
GCA_001560915.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__Methanomethylophilus,s__Methanomethylophilus sp001560915
GCF_000828555.1,f,d__Archaea,p__Methanobacteriota_A,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus maripaludis
GCF_001541925.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus sp001541925
GCF_025992335.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii
GCA_019323575.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__ARS49,g__CABMGU01,s__CABMGU01 sp019323575
GCA_029784825.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__UBA183,s__UBA183 sp029784825
GCA_000746685.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus sp000746765
GCA_902578515.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopelagicus,s__Nitrosopelagicus sp902578515
GCA_030638275.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__BS150m-G63,g__JAGLOT01,s__JAGLOT01 sp023137655
GCA_005504395.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanocomedenaceae,g__Methanomarinus,s__Methanomarinus sp002926195
GCA_013331535.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Anstonellales,f__Bilamarchaeaceae,g__UBA10214,s__UBA10214 sp10214u
GCA_021852055.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAJZOD01,s__JAJZOD01 sp021852055
GCA_003056285.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Wolframiiraptoraceae,g__Terraquivivens,s__Terraquivivens tikiterensis
GCF_001723155.1,f,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Haladaptatus,s__Haladaptatus paucihalophilus
GCA_030042955.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp030042955
GCA_013330385.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O1,s__MGIIb-O1 sp12570u
GCA_004332335.1,t,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae,g__UBA288,s__UBA288 sp004332335
GCA_028700035.1,f,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobium,s__Methanomicrobium antiquum
GCA_028276535.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei,o__Thermofilales,f__Thermofilaceae,g__JANXEW01,s__JANXEW01 sp028275925
GCA_902576965.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp001629235
GCA_022865445.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA10834,f__UBA10834,g__COMBO-56-21,s__COMBO-56-21 sp022865445
GCA_020029125.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TA-21,s__TA-21 sp014523495
GCA_027379375.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Sysuiplasmatales,f__Sysuiplasmataceae,g__JAJZXY01,s__JAJZXY01 sp021817225
GCA_015521175.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Acidilobaceae,g__JAADGB01,s__JAADGB01 sp015521175
GCA_030539765.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina mazei
GCA_027338625.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__Parvarchaeum,s__Parvarchaeum sp021794235
GCA_021797525.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__UBA447,s__UBA447 sp021797525
GCA_002501845.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrososphaera,s__Nitrososphaera sp002501845
GCA_028706745.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,g__UBA9640,s__UBA9640 sp028706745
GCA_022257715.1,f,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__PWEA01,f__PWEA01,g__PWEA01,s__PWEA01 sp003550625
GCA_027329245.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJYXL01,s__JAJYXL01 sp021801785
GCF_901111125.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii
GCA_002503675.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-N2,s__MGIIb-N2 sp002712285
GCA_027315805.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp021828715
GCA_026394995.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__JAPLZO01,g__JAPLZO01,s__JAPLZO01 sp026394995
GCA_013287585.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__TA-20,s__TA-20 sp013287585
GCA_027381955.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAJYEA01,s__JAJYEA01 sp021809545
GCF_002214565.1,t,d__Archaea,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus radiotolerans
GCF_002156965.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus catalinensis
GCA_027342585.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAKAUU01,s__JAKAUU01 sp021817505
GCA_021785805.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJZYD01,s__JAJZYD01 sp021785805
GCF_945868105.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter ruminantium_A
GCA_018672335.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JABIAG01,g__JABIAG01,s__JABIAG01 sp018653365
GCA_028715885.1,t,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanoperedenaceae,g__Methanoperedens,s__Methanoperedens sp028715885
GCA_018648425.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2,s__MGIIb-O2 sp002499785
GCA_018650605.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR9,g__1-14-0-10-32-24,s__1-14-0-10-32-24 sp018655525
GCA_026414015.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Ignisphaeraceae,g__Ignisphaera,s__Ignisphaera sp025058535
GCA_027375195.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Ferroplasma,s__Ferroplasma sp002505185
GCA_024167805.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,s__Methanobacterium_B sp024167805
GCA_018238705.1,f,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__Sigynarchaeales,f__SOKP01,g__SOKP01,s__SOKP01 sp018238625
GCA_021811435.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAKATK01,s__JAKATK01 sp021811435
GCF_900316895.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A sp900316895
GCA_030752695.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp002722735
GCA_013329045.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA9989,g__UBA9989,s__UBA9989 sp9989u
GCA_015523325.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Anstonellales,f__J096,g__WAKO01,s__WAKO01 sp015523325
GCA_029883255.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__Bathyarchaeales,f__Bathyarchaeaceae,g__SOJZ01,s__SOJZ01 sp029883255
GCA_013306035.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA57,g__UBA57,s__UBA57 sp002494565
GCA_014523525.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__TA-21,s__TA-21 sp014523525
GCA_027375715.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Ferroplasma,s__Ferroplasma sp021797735
GCA_031282985.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__Bathyarchaeales,f__UBA233,g__Termiticorpusculum,s__Termiticorpusculum sp031282985
GCA_023379905.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__GCA-001856825,g__GCA-001856825,s__GCA-001856825 sp021827945
GCA_027048375.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__WAQK01,g__WAQK01,s__WAQK01 sp015520265
GCA_016839045.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter sp016838945
GCA_020855015.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium sp020855015
GCA_001593875.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__TCS64,f__B23,g__B23,s__B23 sp001593875
GCA_002495685.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__UBA412,s__UBA412 sp002495685
GCA_002725315.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__UBA36,s__UBA36 sp002725315
GCA_027491755.1,f,d__Archaea,p__Thermoproteota,c__Korarchaeia,o__Korarchaeales,f__Korarchaeaceae,g__WALU01,s__WALU01 sp027491485
GCF_001560515.1,f,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus acidocaldarius
GCA_021835505.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAJZOM01,s__JAJZOM01 sp021817455
GCA_013329035.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,g__GW2011-AR17,s__GW2011-AR17 sp10136u
GCA_029232205.1,t,d__Archaea,p__Nanohaloarchaeota,c__Nanosalinia,o__Nanosalinales,f__Nanosalinaceae,g__M3-22,s__M3-22 sp029232205
GCA_018221085.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR9,g__JAAOXZ01,s__JAAOXZ01 sp018221085
GCA_019322455.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__WJKL01,g__JAHWIB01,s__JAHWIB01 sp019322455
GCF_023566055.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halosolutus,s__Halosolutus amylolyticus
GCA_027370255.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__JAJZLM01,s__JAJZLM01 sp021802105
GCA_027376295.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAJYEA01,s__JAJYEA01 sp021809545
GCA_024461175.1,f,d__Archaea,p__Thermoproteota,c__Methanomethylicia,o__Methanomethylicales,f__Methanomethylicaceae,g__WYZ-LMO11,s__WYZ-LMO11 sp004348015
GCA_030699005.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,g__GW2011-AR1,s__GW2011-AR1 sp030699005
GCF_003431325.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Acidilobaceae,g__Acidilobus,s__Acidilobus sp003431325
GCF_900114455.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogranum,s__Halogranum rubrum
GCA_027338185.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJZAB01,s__JAJZAB01 sp021799635
GCA_015523395.1,f,d__Archaea,p__Hydrothermarchaeota,c__Hydrothermarchaeia,o__Hydrothermarchaeales,f__BMS3B,g__JAADFH01,s__JAADFH01 sp015521945
GCA_030626525.1,f,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__Heimdallarchaeales,f__Heimdallarchaeaceae,g__18H4-34,s__18H4-34 sp023705985
GCA_002504495.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__UBA71 sp002504495
GCA_028355015.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-O2,s__MGIIb-O2 sp002494975
GCA_015063285.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__UBA71 sp015063285
GCA_027357005.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__Parvarchaeum,s__Parvarchaeum tengchongense
GCA_027323125.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJZDT01,s__JAJZDT01 sp021828705
GCA_027016965.1,t,d__Archaea,p__Halobacteriota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Geoglobus,s__Geoglobus sp027016965
GCA_026015035.1,t,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__RBG-16-48-13,f__GCA-020355125,g__DAOVBJ01,s__DAOVBJ01 sp026015035
GCA_022750155.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__UBA184,s__UBA184 sp022750155
GCA_030747225.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__MGIII,f__CG-Epi1,g__UBA8886,s__UBA8886 sp002687355
GCA_028343215.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopelagicus,s__Nitrosopelagicus sp028343215
GCF_024362405.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halosegnis,s__Halosegnis litoreus
GCA_027459265.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__UBA184,f__UBA184,g__JAKAAX01,s__JAKAAX01 sp021802125
GCA_027374215.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Sysuiplasmatales,f__Sysuiplasmataceae,g__Sysuiplasma,s__Sysuiplasma acidicola
GCA_028700135.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__VadinCA11,s__VadinCA11 sp002498365
GCA_018667715.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus sp018668425
GCF_013761165.1,f,d__Archaea,p__Methanobacteriota_A,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus maripaludis
GCA_030746875.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Thalassarchaeaceae,g__MGIIb-Q1,s__MGIIb-Q1 sp002685895
GCA_017608525.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,g__JAFCFS01,s__JAFCFS01 sp017608525
GCA_028279595.1,t,d__Archaea,p__Thermoplasmatota,c__JAKEGO01,o__JAKEGO01,f__JAKEGO01,g__JANQNK01,s__JANQNK01 sp028279595
GCF_008709555.1,t,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma sp008709555
GCA_009903405.1,t,d__Archaea,p__Halobacteriota,c__Syntropharchaeia,o__Alkanophagales,f__Methanospirareceae,g__QENH01,s__QENH01 sp009903405
