ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCA_019894655.1,t,d__Archaea,p__Asgardarchaeota,c__Lokiarchaeia,o__Sigynarchaeales,f__SOKP01,g__SOKP01,s__SOKP01 sp019894655
GCA_018656625.1,f,d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,f__JAAZKV01,g__JABIDZ01,s__JABIDZ01 sp018651445
GCA_017609005.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__CG1-02-33-12,g__CG1-02-33-12,s__CG1-02-33-12 sp017609385
GCA_028708905.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__Methanomethylophilus,s__Methanomethylophilus sp002495325
GCA_027373465.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__JAJZOT01,s__JAJZOT01 sp021820245
GCF_013267195.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum salinarum
GCA_027351885.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJZVQ01,s__JAJZVQ01 sp021845575
GCA_002509125.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanosphaera,s__Methanosphaera sp11921u
GCF_000970145.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina siciliae
GCA_021792775.1,t,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__JAJYXL01,s__JAJYXL01 sp021792775
GCA_013331435.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,s__Nitrosotenuis sp002499525
GCA_025920365.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__Rehaiarchaeum,s__Rehaiarchaeum fermentans
GCA_027491935.1,t,d__Archaea,p__Thermoproteota,c__Korarchaeia,o__Korarchaeales,f__JAOZGB01,g__JAOZGB01,s__JAOZGB01 sp027491935
GCA_027336545.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__Micrarchaeaceae,g__Micrarchaeum_A,s__Micrarchaeum_A acidiphilum_A
GCA_021832825.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Cuniculiplasma,s__Cuniculiplasma divulgatum
GCF_001639285.1,t,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_C,s__Methanobrevibacter_C cuticularis
GCA_902591065.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopelagicus,s__Nitrosopelagicus brevis
GCA_002502925.1,f,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__VadinCA11,s__VadinCA11 sp002498365
GCA_004212145.1,f,d__Archaea,p__Thermoproteota,c__Methanomethylicia,o__Methanomethylicales,f__Methanomethylicaceae,g__WYZ-LMO11,s__WYZ-LMO11 sp004348015
